day,x,y,z
221,-7.184829348752274E12,-1.099177803261034E12,2.081946592691535E7
222,-7.216331933351595E12,-1.104020473402179E12,2.087618016384948E7
223,-7.247834499711471E12,-1.1088631407523271E12,2.0932894361367732E7
224,-7.2793370479894375E12,-1.1137058053355312E12,2.0989608519826762E7
225,-7.310839578340999E12,-1.1185484671755344E12,2.1046322639578484E7
226,-7.342342090919661E12,-1.123391126295775E12,2.110303672097015E7
227,-7.373844585876967E12,-1.1282337827193926E12,2.1159750764344413E7
228,-7.405347063362529E12,-1.1330764364692327E12,2.12164647700394E7
229,-7.436849523524063E12,-1.1379190875678513E12,2.1273178738388762E7
230,-7.46835196650742E12,-1.142761736037521E12,2.1329892669721913E7
231,-7.499854392456615E12,-1.1476043819002341E12,2.1386606564363927E7
232,-7.531356801513861E12,-1.1524470251777085E12,2.1443320422635686E7
233,-7.562859193819597E12,-1.1572896658913916E12,2.1500034244853936E7
234,-7.594361569512517E12,-1.162132304062465E12,2.1556748031331353E7
235,-7.625863928729601E12,-1.1669749397118494E12,2.1613461782376613E7
236,-7.65736627160614E12,-1.1718175728602075E12,2.167017549829446E7
237,-7.688868598275768E12,-1.1766602035279497E12,2.1726889179385778E7
238,-7.720370908870484E12,-1.1815028317352373E12,2.1783602825947635E7
239,-7.751873203520683E12,-1.1863454575019868E12,2.1840316438273374E7
240,-7.783375482355177E12,-1.191188080847874E12,2.1897030016652655E7
241,-7.814877745501226E12,-1.1960307017923376E12,2.195374356137152E7
242,-7.846379993084559E12,-1.200873320354583E12,2.201045707271246E7
243,-7.877882225229399E12,-1.2057159365535862E12,2.206717055095446E7
244,-7.90938444205849E12,-1.2105585504080974E12,2.2123883996373076E7
245,-7.940886643693115E12,-1.2154011619366445E12,2.218059740924047E7
246,-7.972388830253124E12,-1.2202437711575369E12,2.223731078982547E7
247,-8.003891001856953E12,-1.225086378088868E12,2.2294024138393633E7
248,-8.035393158621649E12,-1.2299289827485195E12,2.2350737455207292E7
249,-8.066895300662891E12,-1.234771585154165E12,2.2407450740525603E7
250,-8.098397428095007E12,-1.239614185323272E12,2.2464163994604606E7
251,-8.129899541031003E12,-1.2444567832731057E12,2.2520877217697266E7
252,-8.161401639582576E12,-1.2492993790207324E12,2.2577590410053525E7
253,-8.192903723860138E12,-1.2541419725830225E12,2.2634303571920346E7
254,-8.224405793972834E12,-1.2589845639766526E12,2.2691016703541767E7
255,-8.2559078500285625E12,-1.2638271532181099E12,2.274772980515894E7
256,-8.287409892133994E12,-1.2686697403236938E12,2.2804442877010178E7
257,-8.318911920394589E12,-1.2735123253095193E12,2.2861155919331003E7
258,-8.350413934914615E12,-1.2783549081915198E12,2.2917868932354182E7
259,-8.38191593579717E12,-1.2831974889854497E12,2.2974581916309778E7
260,-8.413417923144192E12,-1.288040067706887E12,2.303129487142518E7
261,-8.444919897056483E12,-1.292882644371236E12,2.3088007797925163E7
262,-8.476421857633722E12,-1.2977252189937305E12,2.3144720696031902E7
263,-8.507923804974481E12,-1.3025677915894346E12,2.320143356596503E7
264,-8.539425739176247E12,-1.307410362173247E12,2.3258146407941673E7
265,-8.570927660335431E12,-1.3122529307599026E12,2.331485922217649E7
266,-8.602429568547387E12,-1.317095497363975E12,2.33715720088817E7
